id,applies_json,field,priority,purpose,scope,segment_type,template_id,text_pool_json,created_at,updated_at,is_active
e29801dd-45cd-40b9-b8d1-0954d94d20b7,NULL,SEGMENT_TITLE,1,secondary,segment,NULL,seg_title_secondary,"[""Secondary Volume"", ""Secondary Block"", ""Build Sets""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
197b3af0-a2dd-4c93-a243-3781a853aea5,NULL,SEGMENT_TITLE,1,main,segment,single,seg_title_main,"[""Main Lift"", ""Primary Strength Work"", ""Main Movement""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
a4bf4ac1-2733-4b24-90a0-01c249663a2e,NULL,SEGMENT_EXECUTION,1,NULL,segment,superset,seg_exec_superset,"[""Superset: alternate the pair with minimal transition. Rest {REST_SEC}s after both. Repeat for {ROUNDS} rounds."", ""Run A then B back-to-back; rest {REST_SEC}s after the second movement. {ROUNDS} total rounds."", ""Keep the two stations ready. Move straight to the second exercise, then rest {REST_SEC}s. {ROUNDS} rounds.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
2e209536-5677-4f3d-aae9-ea47e1b6c4ce,NULL,SEGMENT_EXECUTION,1,NULL,segment,single,seg_exec_single,"[""Complete {ROUNDS} round(s). Rest {REST_SEC}s between sets."", ""{ROUNDS} round(s). Keep reps smooth; rest {REST_SEC}s."", ""Work through {ROUNDS} round(s) with {REST_SEC}s rest between sets.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
91f2d1b0-5c9c-46ec-af8e-90c5f16b56d6,NULL,SEGMENT_TITLE,1,accessory,segment,NULL,seg_title_accessory,"[""Accessories"", ""Finishing Work"", ""Accessory Builder""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
af154db9-0ed4-4792-a011-7ea677fef1a2,NULL,SEGMENT_EXECUTION,1,NULL,segment,giant_set,seg_exec_giant,"[""Giant set: flow through all movements, then rest {REST_SEC}s. Repeat for {ROUNDS} rounds."", ""Complete the circuit in order with quick transitions; rest {REST_SEC}s after the last movement. {ROUNDS} rounds."", ""Move station-to-station, then take {REST_SEC}s. Repeat for {ROUNDS} rounds.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
eb8a9b3a-3db9-4d26-bde1-0118ec6ea245,NULL,SEGMENT_INTENT,1,accessory,segment,NULL,seg_intent_accessory,"[""Chase quality contractions and a strong pump."", ""Keep tension where you want it—controlled reps."", ""Short rests, clean reps, finish strong.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
3a013308-7ccb-4fdc-b639-8d0ab895fc99,NULL,SEGMENT_INTENT,1,secondary,segment,NULL,seg_intent_secondary,"[""Aim for steady volume—no grinders."", ""Accumulate clean reps and keep rest disciplined."", ""This block should feel challenging but repeatable.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
e6875628-edca-4587-bba3-52f816f3a413,NULL,SETUP_NOTE,1,NULL,transition,superset,trans_setup_superset,"[""Set both stations up before you start."", ""Have both implements ready so you don’t waste time mid-round."", ""Quick set-up now saves minutes later—prep both movements.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
6b7628b8-f13b-48fd-ba3f-367358d2b234,NULL,TRANSITION_NOTE,1,NULL,transition,superset,trans_transition_superset,"[""Transition quickly—rest comes after both movements."", ""Move straight to the second exercise; earn the rest after."", ""No hanging around between exercises—rest after the pair.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
08563b07-4007-4ce1-a433-5324532f1763,NULL,PACE_NOTE,1,NULL,transition,NULL,trans_pace_note,"[""Stop 1 rep before form breaks."", ""Keep reps crisp—quality over ego."", ""If tempo slips, reduce load and keep moving.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
2ba8734c-972e-474d-a310-bdbb7fe7c8fa,NULL,CUE_LINE,1,NULL,exercise,NULL,ex_cue_line,"[""Cues: {CUE_1}. {CUE_2}."", ""Focus: {CUE_1}; {CUE_2}."", ""Keep in mind: {CUE_1}. Then {CUE_2}.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
9ec3e8d4-f883-4ce9-b94d-9ce5384755aa,NULL,LOGGING_PROMPT,1,NULL,exercise,NULL,ex_log_prompt,"[""Log load + reps for your hardest set."", ""Track the top set and total reps."", ""Note the weight used and how many reps you had in reserve.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
c1546cb3-2cd4-4547-9dbc-fe25e9341699,NULL,EXERCISE_LINE,1,main,exercise,NULL,ex_line_main,"[""{EX_NAME}: {SETS} set(s) of {REP_RANGE} @ ~{RIR} RIR. Tempo {TEMPO}."", ""{EX_NAME}: {SETS} x {REP_RANGE}, leave {RIR} reps in reserve. Tempo {TEMPO}."", ""{EX_NAME}: {SETS} sets in the {REP_RANGE} range. Keep {RIR} RIR and controlled tempo ({TEMPO}).""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
6e6e7455-71a7-4a0b-816a-28aa4a7e0a2d,NULL,EXERCISE_LINE,1,secondary,exercise,NULL,ex_line_secondary,"[""{EX_NAME}: {SETS} x {REP_RANGE}. Smooth reps, {RIR} RIR."", ""{EX_NAME}: {SETS} sets of {REP_RANGE} with control—no grinders."", ""{EX_NAME}: {SETS} x {REP_RANGE}. Add load only if reps stay clean.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
4a769f8e-7025-4229-8d97-6ef3f6978dbd,NULL,LOAD_HINT,1,NULL,exercise,NULL,ex_load_hint,"[""If you hit the top of the rep range with clean form, add a small amount of load next time."", ""Progression: add reps first, then load once you own the range."", ""Add load only when every rep looks the same.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
01f24fb1-7c81-4be6-a622-4931e848941a,NULL,EXERCISE_LINE,1,accessory,exercise,NULL,ex_line_accessory,"[""{EX_NAME}: {SETS} x {REP_RANGE}. Control the eccentric."", ""{EX_NAME}: {SETS} sets in {REP_RANGE}—chase tension, not momentum."", ""{EX_NAME}: {SETS} x {REP_RANGE}. Keep the last reps hard but tidy.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
