"applies_json","field","priority","purpose","scope","segment_type","template_id","text_pool_json","Creation Date","Modified Date","Slug","Creator","unique id"
"","SEGMENT_TITLE","1","secondary","segment","","seg_title_secondary","[""Secondary Volume"",""Secondary Block"",""Build Sets""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728019x100368957919693810"
"","SEGMENT_TITLE","1","main","segment","single","seg_title_main","[""Main Lift"",""Primary Strength Work"",""Main Movement""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728019x158860441024046620"
"","SEGMENT_EXECUTION","1","","segment","superset","seg_exec_superset","[""Superset: alternate the pair with minimal transition. Rest {REST_SEC}s after both. Repeat for {ROUNDS} rounds."",""Run A then B back-to-back; rest {REST_SEC}s after the second movement. {ROUNDS} total rounds."",""Keep the two stations ready. Move straight to the second exercise, then rest {REST_SEC}s. {ROUNDS} rounds.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728019x507741305858600450"
"","SEGMENT_EXECUTION","1","","segment","single","seg_exec_single","[""Complete {ROUNDS} round(s). Rest {REST_SEC}s between sets."",""{ROUNDS} round(s). Keep reps smooth; rest {REST_SEC}s."",""Work through {ROUNDS} round(s) with {REST_SEC}s rest between sets.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728019x527490302898547140"
"","SEGMENT_TITLE","1","accessory","segment","","seg_title_accessory","[""Accessories"",""Finishing Work"",""Accessory Builder""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728019x755069129327190800"
"","SEGMENT_EXECUTION","1","","segment","giant_set","seg_exec_giant","[""Giant set: flow through all movements, then rest {REST_SEC}s. Repeat for {ROUNDS} rounds."",""Complete the circuit in order with quick transitions; rest {REST_SEC}s after the last movement. {ROUNDS} rounds."",""Move station-to-station, then take {REST_SEC}s. Repeat for {ROUNDS} rounds.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728019x929628481649940200"
"","SEGMENT_INTENT","1","accessory","segment","","seg_intent_accessory","[""Chase quality contractions and a strong pump."",""Keep tension where you want it—controlled reps."",""Short rests, clean reps, finish strong.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728020x132060593036189330"
"","SEGMENT_INTENT","1","secondary","segment","","seg_intent_secondary","[""Aim for steady volume—no grinders."",""Accumulate clean reps and keep rest disciplined."",""This block should feel challenging but repeatable.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728020x250578543234327500"
"","SETUP_NOTE","1","","transition","superset","trans_setup_superset","[""Set both stations up before you start."",""Have both implements ready so you don’t waste time mid-round."",""Quick set-up now saves minutes later—prep both movements.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728020x696122625781669800"
"","TRANSITION_NOTE","1","","transition","superset","trans_transition_superset","[""Transition quickly—rest comes after both movements."",""Move straight to the second exercise; earn the rest after."",""No hanging around between exercises—rest after the pair.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728020x731171507777455200"
"","PACE_NOTE","1","","transition","","trans_pace_note","[""Stop 1 rep before form breaks."",""Keep reps crisp—quality over ego."",""If tempo slips, reduce load and keep moving.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728022x737954015474673800"
"","CUE_LINE","1","","exercise","","ex_cue_line","[""Cues: {CUE_1}. {CUE_2}."",""Focus: {CUE_1}; {CUE_2}."",""Keep in mind: {CUE_1}. Then {CUE_2}.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728023x160627531803430050"
"","LOGGING_PROMPT","1","","exercise","","ex_log_prompt","[""Log load + reps for your hardest set."",""Track the top set and total reps."",""Note the weight used and how many reps you had in reserve.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728023x303628782282768100"
"","EXERCISE_LINE","1","main","exercise","","ex_line_main","[""{EX_NAME}: {SETS} set(s) of {REP_RANGE} @ ~{RIR} RIR. Tempo {TEMPO}."",""{EX_NAME}: {SETS} x {REP_RANGE}, leave {RIR} reps in reserve. Tempo {TEMPO}."",""{EX_NAME}: {SETS} sets in the {REP_RANGE} range. Keep {RIR} RIR and controlled tempo ({TEMPO}).""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728023x305382100981854300"
"","EXERCISE_LINE","1","secondary","exercise","","ex_line_secondary","[""{EX_NAME}: {SETS} x {REP_RANGE}. Smooth reps, {RIR} RIR."",""{EX_NAME}: {SETS} sets of {REP_RANGE} with control—no grinders."",""{EX_NAME}: {SETS} x {REP_RANGE}. Add load only if reps stay clean.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728023x610333494364803700"
"","LOAD_HINT","1","","exercise","","ex_load_hint","[""If you hit the top of the rep range with clean form, add a small amount of load next time."",""Progression: add reps first, then load once you own the range."",""Add load only when every rep looks the same.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728023x693963799826609900"
"","EXERCISE_LINE","1","accessory","exercise","","ex_line_accessory","[""{EX_NAME}: {SETS} x {REP_RANGE}. Control the eccentric."",""{EX_NAME}: {SETS} sets in {REP_RANGE}—chase tension, not momentum."",""{EX_NAME}: {SETS} x {REP_RANGE}. Keep the last reps hard but tidy.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728023x815788151121996400"
